City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
221,221,Moroni,KM,-11.7022,43.2551,80.56,77,53,10.98,broken clouds,Hotel les Arcades
222,222,Castro,BR,-24.7911,-50.0119,78.03,68,94,9.57,overcast clouds,CHACARA BAILLY
223,223,Conde,BR,-7.2597,-34.9075,86.0,58,75,14.97,broken clouds,Pousada Beija Flor
224,224,Saldanha,ZA,-33.0117,17.9442,75.2,57,3,9.22,clear sky,Blue Bay Lodge
235,235,Angoche,MZ,-16.2325,39.9086,84.61,76,80,11.77,light rain,Guest House HESADA
236,236,Buala,SB,-8.145,159.5921,80.35,79,100,5.5,overcast clouds,Maringe Lagoon Lodge
239,239,Acajutla,SV,13.5928,-89.8275,85.03,54,14,4.45,few clouds,asi es
240,240,Nhulunbuy,AU,-12.2333,136.7667,78.8,94,90,11.5,overcast clouds,East Arnhem Real Estate
241,241,Bambous Virieux,MU,-20.3428,57.7575,82.4,78,40,8.05,light rain,Casa Tia Villa
247,247,Tanout,NE,14.9709,8.8879,84.92,13,57,9.22,broken clouds,
251,251,Kidal,ML,18.4411,1.4078,86.2,12,86,8.79,overcast clouds,
257,257,Mahebourg,MU,-20.4081,57.7,82.4,78,40,8.05,light rain,Shandrani Beachcomber Resort & Spa
261,261,Acapulco,MX,16.8634,-99.8901,82.4,69,90,6.91,overcast clouds,HS Hotsson Smart Acapulco
263,263,Quelimane,MZ,-17.8786,36.8883,84.49,73,100,3.56,overcast clouds,Hotel Flamingo
267,267,Rio Branco,BR,-9.9747,-67.81,86.0,66,40,11.5,moderate rain,João Paulo Hotel
269,269,Kendari,ID,-3.945,122.4989,76.96,90,100,3.89,overcast clouds,Hotel Wixel
271,271,Kruisfontein,ZA,-34.0033,24.7314,77.0,54,0,8.99,clear sky,Oyster Bay House Rental
272,272,Sibolga,ID,1.7427,98.7792,76.69,78,84,4.09,broken clouds,Hotel Syariah CN Darussalam
278,278,Brazzaville,CG,-4.2658,15.2832,89.6,51,40,6.91,moderate rain,Hotel Murex
282,282,Santiago De Cuba,CU,20.0247,-75.8219,82.4,61,40,5.75,scattered clouds,Cubanacan San Felix
284,284,Puerto Escondido,MX,15.85,-97.0667,80.6,74,40,1.19,scattered clouds,Aldea del Bazar Hotel and Spa
288,288,Praya,CV,14.9215,-23.5087,78.8,44,75,20.71,broken clouds,LT Aparthotel
290,290,Tautira,PF,-17.7333,-149.15,78.8,73,75,2.3,broken clouds,Pension Oaoa
292,292,Ariquemes,BR,-9.9133,-63.0408,76.71,90,100,5.73,moderate rain,Hotel Sol Nascente - Ariquemes - RO
297,297,Nabire,ID,-3.3667,135.4833,77.95,87,100,3.27,moderate rain,Hotel Nusantara Nabire
298,298,Pitimbu,BR,-7.4706,-34.8086,86.0,58,75,14.97,broken clouds,Reserva do Abiaí
299,299,Labuhan,ID,-6.8844,112.2051,78.55,80,100,4.85,overcast clouds,PT PPI Lamongan Tambak C
301,301,Cap Malheureux,MU,-19.9842,57.6142,81.0,81,49,5.99,scattered clouds,Pereybere Hotel & Spa
304,304,Morrope,PE,-6.5417,-80.0111,75.2,78,75,3.44,mist,Hipolito santamaria
305,305,Moranbah,AU,-22.0016,148.0466,77.13,69,100,5.7,overcast clouds,Direct Hotels - Monterey Moranbah
307,307,Batticaloa,LK,7.7102,81.6924,78.53,81,50,2.84,light rain,Grand Star Guest House
308,308,San Cristobal,VE,7.7669,-72.225,84.2,58,40,6.91,scattered clouds,Pirineos
310,310,Port Blair,IN,11.6667,92.75,77.74,76,59,8.84,broken clouds,Welcomhotel Bay Island Port Blair
314,314,Vila Velha,BR,-20.3297,-40.2925,84.2,65,40,12.66,light rain,Hotel Vitória Palace
317,317,Chuy,UY,-33.6971,-53.4616,79.3,81,77,9.24,broken clouds,Nuevo Hotel Plaza
