City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Cape Town,-33.9258,18.4232,78.01,53,40,13.8,ZA,2021-01-16 14:46:39
68,Carnarvon,-24.8667,113.6333,80.6,89,17,8.05,AU,2021-01-16 14:48:11
69,Lata,40.1629,-8.3327,61.0,66,0,1.01,PT,2021-01-16 14:48:12
70,Honiara,-9.4333,159.95,77.38,81,100,2.39,SB,2021-01-16 14:48:12
71,Perth,-31.9333,115.8333,82.0,17,0,21.85,AU,2021-01-16 14:45:08
72,Arraial Do Cabo,-22.9661,-42.0278,86.0,61,20,24.16,BR,2021-01-16 14:48:12
73,Avarua,-21.2078,-159.775,73.4,94,20,4.61,CK,2021-01-16 14:48:12
74,Diamantino,-14.4086,-56.4461,73.98,91,100,3.76,BR,2021-01-16 14:48:12
75,Pevek,69.7008,170.3133,-17.77,84,49,5.14,RU,2021-01-16 14:45:04
76,Port Keats,-14.25,129.55,82.63,81,94,2.8,AU,2021-01-16 14:48:13
77,Norman Wells,65.282,-126.8329,-4.0,84,75,2.3,CA,2021-01-16 14:48:13
78,Tazovskiy,67.4667,78.7,-11.6,90,100,17.07,RU,2021-01-16 14:48:13
79,Mehamn,71.0357,27.8492,37.4,75,40,11.5,NO,2021-01-16 14:48:13
80,Torbay,47.6666,-52.7314,33.01,93,90,33.38,CA,2021-01-16 14:48:13
81,Along,28.1667,94.7667,55.35,79,7,1.88,IN,2021-01-16 14:48:13
82,Alofi,-19.0595,-169.9187,75.2,100,99,2.3,NU,2021-01-16 14:48:14
83,Nemuro,43.3236,145.575,24.87,90,27,20.98,JP,2021-01-16 14:48:14
84,Airai,-8.9266,125.4092,63.57,100,100,0.63,TL,2021-01-16 14:48:14
85,Paro,27.4305,89.4133,45.61,63,90,1.07,BT,2021-01-16 14:48:14
86,Nanortalik,60.1432,-45.2371,25.07,95,93,5.75,GL,2021-01-16 14:48:14
87,Messina,38.1933,15.5497,55.4,33,40,6.91,IT,2021-01-16 14:48:14
88,Cherskiy,68.75,161.3,-20.63,87,100,4.09,RU,2021-01-16 14:48:14
89,Port Alfred,-33.5906,26.891,72.0,78,0,10.0,ZA,2021-01-16 14:48:15
90,Kavieng,-2.5744,150.7967,83.14,79,93,16.46,PG,2021-01-16 14:48:15
91,Korla,41.7597,86.1469,20.68,81,0,7.67,CN,2021-01-16 14:48:15
92,Seoul,37.5683,126.9778,19.4,57,0,6.91,KR,2021-01-16 14:47:07
93,Broken Hill,-31.95,141.4333,68.0,30,50,11.5,AU,2021-01-16 14:48:15
94,Albany,42.6001,-73.9662,35.01,89,100,5.03,US,2021-01-16 14:45:19
95,Mataura,-46.1927,168.8643,63.0,88,100,4.0,NZ,2021-01-16 14:48:16
96,Rioja,-29.4111,-66.8507,74.5,61,29,24.05,AR,2021-01-16 14:48:16
97,Yulara,-25.2406,130.9889,69.8,60,90,5.75,AU,2021-01-16 14:48:16
98,Mount Isa,-20.7333,139.5,87.8,11,0,16.11,AU,2021-01-16 14:48:16
99,Isiro,2.7739,27.616,84.45,43,91,0.45,CD,2021-01-16 14:48:16
100,Souillac,-20.5167,57.5167,82.4,83,40,11.5,MU,2021-01-16 14:48:16
101,Caravelas,-17.7125,-39.2481,84.69,56,4,10.92,BR,2021-01-16 14:48:16
102,Punta Arenas,-53.15,-70.9167,60.8,59,90,13.8,CL,2021-01-16 14:48:17
103,Laukaa,58.7372,29.8453,3.09,93,100,6.33,RU,2021-01-16 14:48:17
104,San Patricio,28.017,-97.5169,41.0,75,20,3.44,US,2021-01-16 14:48:17
105,Sobolevo,54.4299,31.8996,-1.1,92,100,7.43,RU,2021-01-16 14:48:17
106,Puerto Ayora,-0.7393,-90.3518,77.0,83,75,4.61,EC,2021-01-16 14:48:17
107,Kibala,9.1104,18.3463,98.6,12,0,9.22,TD,2021-01-16 14:48:17
108,Olafsvik,64.8945,-23.7142,36.7,95,100,23.22,IS,2021-01-16 14:48:17
109,Santa Maria,-29.6842,-53.8069,80.6,78,75,6.91,BR,2021-01-16 14:48:18
110,Upernavik,72.7868,-56.1549,11.98,92,18,4.56,GL,2021-01-16 14:48:18
111,Berlevag,70.8578,29.0864,37.4,75,40,11.5,NO,2021-01-16 14:48:18
112,Thompson,55.7435,-97.8558,12.2,92,90,5.75,CA,2021-01-16 14:48:18
113,Luderitz,-26.6481,15.1594,71.28,58,0,24.14,NA,2021-01-16 14:48:18
114,Butaritari,3.0707,172.7902,80.96,80,69,20.71,KI,2021-01-16 14:48:18
115,Adrar,20.5022,-10.0711,71.76,14,100,19.48,MR,2021-01-16 14:48:18
116,Udankudi,8.4333,78.0167,78.44,85,100,11.99,IN,2021-01-16 14:48:19
117,Ilulissat,69.2167,-51.1,12.2,52,20,10.36,GL,2021-01-16 14:48:19
118,Itamarandiba,-17.8572,-42.8589,74.1,70,100,3.8,BR,2021-01-16 14:48:19
119,Hornepayne,49.2138,-84.7705,17.08,96,100,10.56,CA,2021-01-16 14:48:19
120,Nuuk,64.1835,-51.7216,23.0,74,20,9.22,GL,2021-01-16 14:47:42
121,Esperance,-33.8667,121.9,57.2,67,0,11.5,AU,2021-01-16 14:48:19
122,Tuktoyaktuk,69.4541,-133.0374,-5.8,84,90,11.5,CA,2021-01-16 14:48:19
