City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Severo-Kurilsk,RU,50.6789,156.125,25.83,96,100,13.2,light snow
81,Atuona,PF,-9.8,-139.0333,77.52,77,1,13.47,clear sky
82,Anloga,GH,5.7947,0.8973,87.8,66,20,13.8,few clouds
83,Port Elizabeth,ZA,-33.918,25.5701,73.4,64,0,37.98,clear sky
84,Iqaluit,CA,63.7506,-68.5145,6.8,85,90,23.02,snow
85,Chikola,RU,43.1906,43.9209,35.6,80,90,2.24,overcast clouds
86,Dwarka,IN,22.2394,68.9678,70.43,50,0,11.16,clear sky
87,Tiksi,RU,71.6872,128.8694,-9.63,91,100,14.0,overcast clouds
88,Constitucion,CL,-35.3333,-72.4167,68.72,40,0,17.47,clear sky
89,Hay River,CA,60.8156,-115.7999,12.2,85,100,4.61,overcast clouds
90,Corato,IT,41.1455,16.4139,46.0,42,20,11.5,few clouds
91,Progreso,MX,21.2833,-89.6667,72.0,56,75,9.22,broken clouds
92,Olafsvik,IS,64.8945,-23.7142,36.52,94,100,23.67,light rain
93,Leningradskiy,RU,69.3833,178.4167,-18.65,86,100,1.19,overcast clouds
94,Lebu,CL,-37.6167,-73.65,60.8,60,0,19.8,clear sky
95,Batagay-Alyta,RU,67.8006,130.4114,-27.92,84,100,1.23,overcast clouds
96,Skjervoy,NO,70.0311,20.9714,37.42,93,100,20.74,overcast clouds
97,Yumen,CN,40.2833,97.2,16.11,75,0,23.4,clear sky
98,Mar Del Plata,AR,-38.0023,-57.5575,69.8,94,75,8.05,broken clouds
99,Iracoubo,GF,5.4802,-53.2011,81.25,72,93,13.2,overcast clouds
100,Avera,US,33.194,-82.5271,44.6,42,40,20.71,scattered clouds
101,Provideniya,RU,64.3833,-173.3,-1.89,85,100,9.8,overcast clouds
102,Tasiilaq,GL,65.6145,-37.6368,32.0,86,75,11.5,light snow
103,Bulandshahr,IN,28.4,77.85,52.9,49,0,3.65,clear sky
104,Pulandian,CN,39.3953,121.9669,14.0,67,0,2.35,clear sky
105,Zhigansk,RU,66.7697,123.3711,-33.79,82,100,5.95,overcast clouds
106,Clyde River,CA,70.4692,-68.5914,3.2,85,90,6.91,overcast clouds
107,Victoria,HK,22.2855,114.1577,62.01,76,99,23.33,overcast clouds
108,Hambantota,LK,6.1241,81.1185,75.2,100,40,2.3,scattered clouds
109,Gualaquiza,EC,-3.4,-78.55,76.78,65,94,1.68,light rain
110,Augusto Correa,BR,-1.0217,-46.635,88.54,56,81,7.58,broken clouds
111,Talcahuano,CL,-36.7167,-73.1167,69.8,46,0,18.41,clear sky
112,Kodiak,US,57.79,-152.4072,39.2,93,90,33.38,moderate rain
113,Vila Franca Do Campo,PT,37.7167,-25.4333,64.99,94,75,8.05,light rain
114,Benguela,AO,-12.5763,13.4055,80.58,60,25,11.32,scattered clouds
115,Yellowknife,CA,62.456,-114.3525,-0.4,78,90,8.05,light snow
116,Lamu,KE,-2.2717,40.902,80.6,78,1,12.66,clear sky
117,Ahvaz,IR,31.3203,48.6693,59.0,51,0,2.3,clear sky
118,Ust-Kuyga,RU,70.0167,135.6,-28.07,83,100,0.36,overcast clouds
119,Poum,NC,-20.2333,164.0167,81.23,80,100,3.49,overcast clouds
120,Dikson,RU,73.5069,80.5464,-31.79,79,13,8.99,few clouds
121,Lindon,US,40.3433,-111.7208,36.0,64,40,2.13,scattered clouds
122,Tuy Hoa,VN,13.0833,109.3,68.76,87,60,6.93,light rain
123,Klaksvik,FO,62.2266,-6.589,44.6,100,90,4.61,light rain
124,Kahului,US,20.8947,-156.47,71.01,72,20,5.75,few clouds
125,Campoverde,PE,-8.4753,-74.8058,82.4,74,75,5.75,light rain
126,Kiwira,TZ,-9.1667,33.5333,67.59,83,75,1.61,moderate rain
127,Katsuura,JP,35.1333,140.3,46.99,46,75,16.11,broken clouds
128,Fayaoue,NC,-20.65,166.5333,82.06,81,100,13.98,overcast clouds
129,Mahon,ES,39.8885,4.2658,51.8,66,20,12.66,few clouds
130,Los Llanos De Aridane,ES,28.6585,-17.9182,69.8,60,20,5.75,few clouds
131,Pevek,RU,69.7008,170.3133,-17.52,84,58,5.32,broken clouds
132,Fairbanks,US,64.8378,-147.7164,7.0,84,1,3.49,clear sky
133,Souillac,MU,-20.5167,57.5167,82.4,78,40,8.05,scattered clouds
134,Maceio,BR,-9.6658,-35.7353,87.8,55,40,13.8,scattered clouds
135,Mayumba,GA,-3.432,10.6554,80.62,75,96,9.33,overcast clouds
136,Kaitangata,NZ,-46.2817,169.8464,57.07,92,98,7.58,light rain
137,Salta,AR,-24.7859,-65.4117,82.4,57,40,6.91,light rain
138,Husavik,IS,66.0449,-17.3389,35.6,93,90,4.61,overcast clouds
139,Dakar,SN,14.6937,-17.4441,71.6,56,100,13.8,dust
140,Selestat,FR,48.2598,7.4565,28.4,86,90,6.91,overcast clouds
141,Iskateley,RU,67.6803,53.1512,-15.79,80,0,4.16,clear sky
142,Hamilton,US,39.1834,-84.5333,33.8,75,90,11.5,overcast clouds
143,Havoysund,NO,70.9963,24.6622,35.6,87,75,4.61,broken clouds
144,Monrovia,LR,6.3005,-10.7969,86.0,74,75,11.5,light rain
145,Linkoping,SE,58.4109,15.6216,24.8,93,90,4.61,overcast clouds
146,Sioux Lookout,CA,50.1001,-91.917,12.2,85,90,3.44,light snow
147,Tezu,IN,27.9167,96.1667,60.82,54,13,3.33,few clouds
148,Port Macquarie,AU,-31.4333,152.9167,57.99,85,13,1.99,few clouds
149,Esso,RU,55.9333,158.7,4.37,88,100,4.97,light snow
150,Puerto Ayora,EC,-0.7393,-90.3518,77.0,83,90,5.75,light intensity drizzle rain
151,Santa Cruz,BO,-17.8,-63.1667,75.2,94,75,18.41,light rain
152,Hithadhoo,MV,-0.6,73.0833,81.9,75,100,10.94,overcast clouds
153,Omboue,GA,-1.5746,9.2618,80.91,80,80,10.04,broken clouds
154,Kavaratti,IN,10.5669,72.642,82.24,77,7,9.48,light rain
155,Ajdabiya,LY,30.7554,20.2263,59.85,65,17,17.96,few clouds
156,Tombouctou,ML,20.0,-3.0,72.64,15,93,17.63,overcast clouds
157,Quatre Cocos,MU,-20.2078,57.7625,82.4,78,40,8.05,scattered clouds
158,Alta Floresta,BR,-9.8756,-56.0861,87.8,70,75,3.44,broken clouds
159,Doha,QA,25.2867,51.5333,69.8,64,0,2.3,clear sky
160,Norman Wells,CA,65.282,-126.8329,-4.0,84,90,2.3,light snow
161,Sobolevo,RU,54.4299,31.8996,-1.17,92,100,7.47,light snow
162,Gamba,GA,-2.65,10.0,80.28,79,97,9.91,overcast clouds
163,Kumluca,TR,36.3703,30.2869,55.65,71,39,10.98,moderate rain
164,Kenai,US,60.5544,-151.2583,32.0,80,40,23.02,scattered clouds
165,Kirakira,SB,-10.4544,161.9205,79.07,81,100,1.66,overcast clouds
166,Nikolskoye,RU,59.7035,30.7861,7.0,85,75,6.71,light snow
167,Atar,MR,20.5169,-13.0499,79.02,11,100,18.41,overcast clouds
168,Oranjemund,NA,-28.55,16.4333,68.49,69,0,14.83,clear sky
169,Mazatlan,MX,23.2167,-106.4167,66.99,76,75,4.61,broken clouds
170,Port Lincoln,AU,-34.7333,135.8667,60.78,75,85,7.65,overcast clouds
171,Moron,AR,-34.6534,-58.6198,90.0,44,9,1.99,clear sky
172,Bredasdorp,ZA,-34.5322,20.0403,78.8,41,0,20.71,clear sky
173,Luganville,VU,-15.5333,167.1667,76.32,88,100,5.86,light rain
174,Upernavik,GL,72.7868,-56.1549,11.53,92,13,4.36,few clouds
175,Grindavik,IS,63.8424,-22.4338,37.4,87,90,31.07,light snow
176,Kuah,MY,6.3265,99.8432,82.4,78,20,3.44,few clouds
177,Voyvozh,RU,62.892,54.9635,-5.31,91,98,8.99,overcast clouds
178,Belmonte,BR,-15.8631,-38.8828,86.0,66,75,6.91,broken clouds
179,Goderich,CA,43.7501,-81.7165,32.0,86,57,4.61,broken clouds
180,Carahue,CL,-38.7,-73.1667,66.2,55,40,11.5,scattered clouds
181,Winsum,NL,53.33,6.5208,35.01,78,100,1.99,overcast clouds
182,Torbay,CA,47.6666,-52.7314,33.01,93,90,25.32,snow
183,Vestmannaeyjar,IS,63.4427,-20.2734,37.4,93,90,28.77,overcast clouds
184,Margate,GB,51.3813,1.3862,43.0,92,100,1.99,overcast clouds
185,Whyalla,AU,-33.0333,137.5833,62.6,77,75,13.8,broken clouds
186,Kuusamo,FI,65.9667,29.1833,19.4,93,75,4.61,broken clouds
187,Venice,US,27.0998,-82.4543,63.0,59,75,11.5,broken clouds
188,Krasnogorsk,RU,55.8225,37.3181,5.0,85,90,11.18,heavy snow
189,Warrnambool,AU,-38.3833,142.4833,52.0,78,100,11.1,overcast clouds
190,Gizo,SB,-8.103,156.8419,82.89,73,87,9.73,overcast clouds
191,Aksarka,RU,66.5606,67.7975,-7.38,91,96,7.09,overcast clouds
192,Nanganga,TZ,-10.3833,39.15,77.58,87,54,2.66,light rain
193,Sao Filipe,CV,14.8961,-24.4956,73.18,69,71,10.67,broken clouds
194,Chokurdakh,RU,70.6333,147.9167,-12.62,88,100,13.73,overcast clouds
195,La Ronge,CA,55.1001,-105.2842,28.4,74,38,4.61,scattered clouds
196,Madanapalle,IN,13.55,78.5,67.41,70,2,4.32,clear sky
197,Cabanas,CU,22.9758,-82.9219,73.4,60,75,10.36,broken clouds
198,Los Algarrobos,PA,8.5,-82.4333,82.4,74,20,2.3,few clouds
199,Wukari,NG,7.85,9.7833,96.94,10,61,5.59,broken clouds
200,Kongwa,TZ,-6.2,36.4167,70.59,82,26,4.68,light rain
201,Guerrero Negro,MX,27.9769,-114.0611,67.12,26,0,2.82,clear sky
202,Chicama,PE,-7.8447,-79.1469,68.0,88,20,6.91,few clouds
203,Kautokeino,NO,69.0125,23.0412,16.07,93,52,4.25,broken clouds
204,Alekseyevsk,RU,57.8406,108.3492,-43.98,75,23,1.68,few clouds
205,Puerto Del Rosario,ES,28.5004,-13.8627,66.2,55,20,17.27,few clouds
206,Hinesville,US,31.8469,-81.5959,50.0,40,1,13.8,clear sky
207,Hays,US,30.0502,-98.0336,52.0,41,0,1.01,clear sky
208,Hailey,US,43.5196,-114.3153,19.4,79,1,6.91,clear sky
209,Bathsheba,BB,13.2167,-59.5167,84.2,58,20,21.85,few clouds
210,Verkhnetulomskiy,RU,68.6073,31.7962,28.4,93,75,4.47,broken clouds
211,Saint-Philippe,RE,-21.3585,55.7679,82.4,83,0,8.05,clear sky
212,Cidreira,BR,-30.1811,-50.2056,79.21,77,100,12.08,overcast clouds
213,Herne Bay,GB,51.373,1.1286,44.01,96,100,1.01,overcast clouds
214,Waipawa,NZ,-41.4122,175.5153,64.99,77,75,23.02,broken clouds
215,Dayong,CN,25.0209,118.2898,55.4,41,0,20.13,clear sky
216,Southbridge,US,42.0751,-72.0334,46.99,98,100,9.28,overcast clouds
217,Kieta,PG,-6.2167,155.6333,79.38,78,82,3.47,light rain
218,Chikwawa,MW,-16.0335,34.8009,85.41,66,93,2.21,overcast clouds
219,Coihaique,CL,-45.5752,-72.0662,68.0,60,40,4.61,scattered clouds
220,Poro,PH,10.6292,124.4087,77.0,94,75,9.22,light rain
221,Moroni,KM,-11.7022,43.2551,80.56,77,53,10.98,broken clouds
222,Castro,BR,-24.7911,-50.0119,78.03,68,94,9.57,overcast clouds
223,Conde,BR,-7.2597,-34.9075,86.0,58,75,14.97,broken clouds
224,Saldanha,ZA,-33.0117,17.9442,75.2,57,3,9.22,clear sky
225,Codrington,AU,-38.2667,141.9667,55.83,72,99,10.6,overcast clouds
226,Saint George,US,37.1041,-113.5841,37.4,38,1,4.99,clear sky
227,Praia Da Vitoria,PT,38.7333,-27.0667,62.6,77,20,8.79,few clouds
228,Port Hardy,CA,50.6996,-127.4199,44.6,87,90,18.41,overcast clouds
229,Portales,US,34.1862,-103.3344,35.01,44,75,10.36,broken clouds
230,Ust-Ilimsk,RU,58.0006,102.6619,-33.32,79,79,1.92,broken clouds
231,Japura,ID,-0.3167,102.35,74.66,96,98,2.62,overcast clouds
232,Neuquen,AR,-38.9516,-68.0591,69.8,40,40,6.91,scattered clouds
233,Fort Nelson,CA,58.8053,-122.7002,3.2,85,1,4.61,clear sky
234,Srednekolymsk,RU,67.45,153.6833,-33.12,79,95,3.74,overcast clouds
235,Angoche,MZ,-16.2325,39.9086,84.61,76,80,11.77,light rain
236,Buala,SB,-8.145,159.5921,80.35,79,100,5.5,overcast clouds
237,Rantepao,ID,-2.9701,119.8978,69.78,90,100,2.15,moderate rain
238,Evensk,RU,61.95,159.2333,-22.63,74,0,7.25,clear sky
239,Acajutla,SV,13.5928,-89.8275,85.03,54,14,4.45,few clouds
240,Nhulunbuy,AU,-12.2333,136.7667,78.8,94,90,11.5,overcast clouds
241,Bambous Virieux,MU,-20.3428,57.7575,82.4,78,40,8.05,light rain
242,Harnosand,SE,62.6323,17.9379,17.6,86,90,1.14,overcast clouds
243,Kristiansund,NO,63.1115,7.732,23.0,74,0,3.44,clear sky
244,Rawson,AR,-43.3002,-65.1023,63.86,45,91,25.55,overcast clouds
245,Tyukhtet,RU,56.5389,89.3011,10.35,91,100,6.76,overcast clouds
246,Tromso,NO,69.6496,18.957,35.6,87,75,13.8,light rain
247,Tanout,NE,14.9709,8.8879,84.92,13,57,9.22,broken clouds
